,Unnamed: 0,original_datarow,Species,Quantity,Price,Currency,Price_euro,Intent,Seller_id,lat,lon,Conservation status,CITES
190,288,49306,Sphaerodactylus sputator,[],158.25,EUR,158.25,Seller,89,52.2434979,5.6343227,LC,0
191,289,49523,Sphaerodactylus sputator,[],[],[],[],Seller,90,61.0666922,-107.991707,LC,0
192,290,49560,Anolis gingivinus,[],[],[],[],Seller,90,61.0666922,-107.991707,LC,0
193,291,49560,Anolis pogus,[],[],[],[],Seller,90,61.0666922,-107.991707,NT,0
194,292,49560,Sphaerodactylus parvus,[],[],[],[],Seller,90,61.0666922,-107.991707,LC,0
195,293,49560,Pholidoscelis plei,[],[],[],[],Seller,90,61.0666922,-107.991707,LC,0
196,294,49560,Thecadactylus oskrobapreinorum,[],[],[],[],Seller,90,61.0666922,-107.991707,DD,0
197,296,49565,Sphaerodactylus sputator,[],195,USD,160.546682,Seller,91,39.7837304,-100.445882,LC,0
198,297,49584,Anolis gingivinus,[],300,USD,246.9948954,Seller,91,39.7837304,-100.445882,LC,0
199,298,49591,Sphaerodactylus parvus,[],200,USD,164.6632636,Seller,91,39.7837304,-100.445882,LC,0
200,299,51395,Thecadactylus oskrobapreinorum,[],300,USD,245.398773,Seller,92,39.7837304,-100.445882,DD,0
201,302,51608,Thecadactylus oskrobapreinorum,[],550,USD,449.8977505,Seller,93,39.7837304,-100.445882,DD,0
202,303,51628,Thecadactylus oskrobapreinorum,[],300,USD,245.398773,Seller,93,39.7837304,-100.445882,DD,0
203,304,51642,Thecadactylus oskrobapreinorum,[],[],[],[],Seller,94,39.7837304,-100.445882,DD,0
204,305,51894,Anolis marmoratus,[],[],[],[],Buyer,95,39.3260685,-4.8379791,LC,0
205,306,54075,Anolis marmoratus,[],[],[],[],[],96,[],[],LC,0
206,308,54697,Corallus cookii,[],[],[],[],Seller,98,[],[],NT,Appendix II
207,310,55887,Anolis roquet,[],[],[],[],Seller,99,[],[],LC,0
208,314,56132,Anolis oculatus,[],[],[],[],Buyer,103,[],[],NT,0
209,315,56132,Anolis sabanus,[],[],[],[],Buyer,103,[],[],NT,0
210,316,56132,Anolis marmoratus,[],[],[],[],Buyer,103,[],[],LC,0
211,317,56132,Anolis roquet,[],[],[],[],Buyer,103,[],[],LC,0
212,319,56165,Anolis roquet,[],[],[],[],Seller,104,[],[],LC,0
213,321,56641,Thecadactylus oskrobapreinorum,[],[],[],[],Seller,105,51.1638175,10.4478313,DD,0
214,325,77616,Corallus cookii,[],[],[],[],Buyer,109,[],[],NT,Appendix II
215,327,86861,Corallus cookii,[],[],[],[],Seller,110,[],[],NT,Appendix II
216,328,90113,Boa nebulosa,[],[],[],[],Buyer,111,[],[],LC,Appendix II
217,329,90843,Corallus cookii,[],[],[],[],Seller,112,[],[],NT,Appendix II
218,330,90909,Boa orophias,[],[],[],[],Buyer,111,[],[],EN,Appendix II
219,336,99662,Corallus grenadensis,[],[],[],[],Buyer,117,[],[],LC,Appendix II
220,337,101910,Corallus cookii,[],[],[],[],Seller,118,[],[],NT,Appendix II
221,338,102097,Corallus cookii,[],[],[],[],Seller,118,39.7837304,-100.445882,NT,Appendix II
222,353,115764,Corallus cookii,[],[],[],[],Seller,129,[],[],NT,Appendix II
223,354,116328,Corallus cookii,[],[],[],[],Seller,130,[],[],NT,Appendix II
224,356,116477,Corallus cookii,[],[],[],[],Seller,131,[],[],NT,Appendix II
225,358,117060,Corallus cookii,[],[],[],[],Seller,133,[],[],NT,Appendix II
226,360,118009,Corallus cookii,[],[],[],[],Seller,135,[],[],NT,Appendix II
227,371,129654,Mabuya mabouya,[],[],[],[],Seller,142,[],[],CR,0
228,372,129654,Corallus cookii,[],[],[],[],Seller,142,[],[],NT,Appendix II
229,380,134652,Mabuya mabouya,[],[],[],[],Seller,143,[],[],CR,0
230,382,134652,Corallus cookii,[],[],[],[],Seller,143,[],[],NT,Appendix II
231,385,135138,Anolis sabanus,[],[],[],[],Seller,146,39.7837304,-100.445882,NT,0
232,386,135138,Anolis marmoratus,[],[],[],[],Seller,146,39.7837304,-100.445882,LC,0
233,402,140170,Anolis extremus,[],[],[],[],Seller,154,[],[],LC,0
234,403,140176,Anolis roquet,[],[],[],[],Buyer,155,[],[],LC,0
235,409,140383,Anolis luciae,[],[],[],[],Seller,154,[],[],EN,0
236,418,143036,Anolis roquet,[],[],[],[],Buyer,158,39.7837304,-100.445882,LC,0
237,419,143036,Anolis leachii,[],[],[],[],Buyer,158,39.7837304,-100.445882,LC,0
238,421,143477,Anolis trinitatis,[],[],[],[],Buyer,160,51.1638175,10.4478313,LC,0
239,423,143983,Anolis sabanus,[],[],[],[],Seller,120,[],[],NT,0
240,425,143983,Anolis bimaculatus,[],[],[],[],Seller,120,[],[],LC,0
241,427,144948,Anolis leachii,[],[],[],[],Seller,162,[],[],LC,0
242,438,147018,Corallus cookii,[],[],[],[],Buyer,110,39.7837304,-100.445882,NT,Appendix II
243,439,147128,Anolis sabanus,[],[],[],[],Buyer,165,[],[],NT,0
244,440,147128,Anolis leachii,[],[],[],[],Buyer,165,[],[],LC,0
245,452,151035,Anolis marmoratus,[],[],[],[],Seller,173,[],[],LC,0
246,453,151036,Anolis sabanus,[],[],[],[],Seller,174,[],[],NT,0
